id_setor_censitario,pessoas_5anos_mais_alfab
355030813000059,1021
355030813000060,463
355030813000061,604
355030813000062,1424
355030813000063,1085
355030813000064,1213
355030813000065,411
355030813000066,975
355030813000067,706
355030813000068,648
355030813000069,674
355030813000070,522
355030813000071,763
355030813000072,747
355030813000073,567
355030813000074,850
355030813000075,822
355030813000076,277
355030813000077,697
355030813000078,582
355030813000079,709
355030813000080,436
355030813000081,573
355030813000082,222
355030813000083,594
355030813000084,346
355030813000085,234
355030813000086,844
355030813000087,599
355030813000088,693
355030813000089,1075
355030813000090,453
355030813000091,456
355030813000092,251
355030813000093,1239
355030813000094,557
355030813000095,543
355030813000096,628
355030813000097,828
355030813000098,814
355030813000099,665
355030813000100,462
355030813000101,717
355030813000102,1604
355030813000103,793
355030813000104,957
355030813000105,1218
355030813000106,848
355030813000107,937
355030813000108,365
355030813000109,385
355030813000110,871
355030813000111,281
355030813000112,707
355030813000113,558
355030813000114,424
355030813000115,823
355030813000116,839
355030813000117,430
355030813000118,767
355030813000119,520
355030813000120,441
355030813000121,285
355030813000122,344
355030813000123,467
355030813000124,354
355030813000125,465
355030813000126,122
355030813000127,549
355030813000128,441
355030813000129,359
355030813000130,564
355030813000131,487
355030813000132,703
355030813000133,486
355030813000134,469
355030813000135,1090
355030813000136,706
355030813000137,644
355030813000138,588
355030813000139,540
355030813000140,476
355030813000141,526
355030813000142,1239
355030813000143,393
355030813000144,533
355030813000145,1230
355030813000146,615
355030813000147,622
355030813000148,564
355030813000149,483
355030813000150,452
355030813000151,427
355030813000152,136
355030813000153,255
355030813000154,733
355030813000155,1026
355030813000156,460
355030813000157,869
355030813000158,897
355030813000159,322
355030813000160,742
355030813000161,775
355030813000162,318
355030813000163,461
355030813000164,448
355030813000165,245
355030813000166,431
355030813000167,549
355030813000168,725
355030813000169,653
355030813000170,493
355030813000172,606
355030813000174,373
355030813000175,563
355030813000176,730
355030813000178,519
355030813000179,852
355030813000180,506
355030813000182,455
355030813000183,247
355030813000184,523
355030813000185,300
355030813000186,1777
355030813000187,151
355030813000188,362
355030813000189,353
355030813000190,339
355030813000191,360
355030813000192,454
355030813000193,144
355030813000194,538
355030813000195,49
355030813000198,143
355030813000199,410
355030813000200,508
355030813000201,411
355030813000202,342
355030813000203,7
355030813000204,2
355030813000205,94
355030813000206,36
355030813000208,234
355030813000209,94
355030813000210,481
355030813000211,182
355030813000213,315
355030813000214,375
355030813000215,216
355030813000217,322
355030813000218,235
355030813000219,216
355030813000220,130
355030813000221,198
355030813000222,114
355030813000223,151
355030813000224,538
355030813000225,313
355030813000226,148
355030813000227,198
355030813000228,14
355030814000001,683
355030814000002,794
355030814000003,874
355030814000004,560
355030814000005,499
355030814000006,341
355030814000007,761
355030814000008,601
355030814000009,374
355030814000010,431
355030814000011,599
355030814000012,430
355030814000013,474
355030814000014,1043
355030814000015,740
355030814000016,709
355030814000017,496
355030814000018,508
355030814000019,575
355030814000020,720
355030814000021,587
355030814000022,686
355030814000023,604
355030814000024,732
355030814000025,795
355030814000026,864
355030814000027,718
355030814000028,602
355030814000029,727
355030814000030,352
355030814000031,394
355030814000032,686
355030814000033,642
355030814000034,412
355030814000035,635
355030814000036,521
355030814000037,580
355030814000038,448
